PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT SCREEN,INCLUDE? ,SAMPLE SIZE,COUNTRY,TIME POINTS,TIME PERIOD,
40025440,Social contact patterns in South Korea: an analysis of a survey conducted in 2023-2024,"Son WS, Chae MK, Hwang DU, Nah K, Kim M, Kim JH, Lee J.",BMC Infect Dis. 2025 Mar 1;25(1):295. doi: 10.1186/s12879-025-10706-y.,Son WS,BMC Infect Dis,2025,02/03/2025,PMC11871801,,10.1186/s12879-025-10706-y,YES,YES,1987,South Korea,2 weeks,2023-2024,
39974087,"Within-country heterogeneity in patterns of social contact relevant for tuberculosis infection transmission, prevention, and care","LeGrand KE, Edwards A, Mohlamonyane M, Dayi N, Olivier S, Gareta D, Wood R, Grant AD, White RG, Middelkoop K, Khan P, McCreesh N.",medRxiv [Preprint]. 2025 Jan 22:2025.01.21.25320893. doi: 10.1101/2025.01.21.25320893.,LeGrand KE,medRxiv,2025,20/02/2025,PMC11838925,,10.1101/2025.01.21.25320893,NO,,,,,,
39581373,Collaborative Outcomes Study on Health and Functioning During Infection Times (COH-FIT): Global and Risk-Group Stratified Course of Well-Being and Mental Health During the COVID-19 Pandemic in Adolescents,"Solmi M, Thompson T, Cortese S, Estradé A, Agorastos A, Radua J, Dragioti E, Vancampfort D, Thygesen LC, Aschauer H, Schlögelhofer M, Aschauer E, Schneeberger AA, Huber CG, Hasler G, Conus P, Do Cuénod KQ, von Känel R, Arrondo G, Fusar-Poli P, Gorwood P, Llorca PM, Krebs MO, Scanferla E, Kishimoto T, Rabbani G, Skonieczna-Żydecka K, Brambilla P, Favaro A, Takamiya A, Zoccante L, Colizzi M, Bourgin J, Kamiński K, Moghadasin M, Seedat S, Matthews E, Wells J, Vassilopoulou E, Gadelha A, Su KP, Kwon JS, Kim M, Lee TY, Papsuev O, Manková D, Boscutti A, Gerunda C, Saccon D, Righi E, Monaco F, Croatto G, Cereda G, Demurtas J, Brondino N, Veronese N, Enrico P, Politi P, Ciappolino V, Pfennig A, Bechdolf A, Meyer-Lindenberg A, Kahl KG, Domschke K, Bauer M, Koutsouleris N, Winter S, Borgwardt S, Bitter I, Balazs J, Czobor P, Unoka Z, Mavridis D, Tsamakis K, Bozikas VP, Tunvirachaisakul C, Maes M, Rungnirundorn T, Supasitthumrong T, Haque A, Brunoni AR, Costardi CG, Schuch FB, Polanczyk G, Luiz JM, Fonseca L, Aparicio LV, Valvassori SS, Nordentoft M, Vendsborg P, Hoffmann SH, Sehli J, Sartorius N, Heuss S, Guinart D, Hamilton J, Kane J, Rubio J, Sand M, Koyanagi A, et al.",J Am Acad Child Adolesc Psychiatry. 2024 Nov 23:S0890-8567(24)02023-9. doi: 10.1016/j.jaac.2024.07.932. Online ahead of print.,Solmi M,J Am Acad Child Adolesc Psychiatry,2024,24/11/2024,,,10.1016/j.jaac.2024.07.932,YES,NO,,,,,
39974459,"Assessment of the Attitude, Anxiety Episodes and Perceived Psychological Impact of the Pandemic on Medical Undergraduate Students - a Retrospective Study","Chaudhary P, Patra A, Singal A, Arora KK.",Maedica (Bucur). 2024 Dec;19(4):750-755. doi: 10.26574/maedica.2024.19.4.7502024;.,Chaudhary P,Maedica (Bucur),2024,20/02/2025,PMC11834834,,10.26574/maedica.2024.19.4.7502024;,NO,,,,,,
39979860,Social contacts and mixing patterns in rural Gambia,"Osei I, Mendy E, van Zandvoort K, Young B, Jobe O, Sarwar G, Mohammed NI, Bruce J, Greenwood B, Flasche S, Mackenzie GA.",BMC Infect Dis. 2025 Feb 20;25(1):243. doi: 10.1186/s12879-025-10640-z.,Osei I,BMC Infect Dis,2025,20/02/2025,PMC11844039,,10.1186/s12879-025-10640-z,YES,YES,1632,Gambia,,2022,
37715459,Examining the Influence of Imbalanced Social Contact Matrices in Epidemic Models,"Hamilton MA, Knight J, Mishra S.",Am J Epidemiol. 2024 Feb 5;193(2):339-347. doi: 10.1093/aje/kwad185.,Hamilton MA,Am J Epidemiol,2024,16/09/2023,PMC10840077,,10.1093/aje/kwad185,NO,,,,,,
39305825,Global and risk-group stratified well-being and mental health during the COVID-19 pandemic in adults: Results from the international COH-FIT Study,"Solmi M, Thompson T, Estradé A, Agorastos A, Radua J, Cortese S, Dragioti E, Vancampfort D, Thygesen LC, Aschauer H, Schlögelhofer M, Aschauer E, Schneeberger A, Huber CG, Hasler G, Conus P, Cuénod KQD, von Känel R, Arrondo G, Fusar-Poli P, Gorwood P, Llorca PM, Krebs MO, Scanferla E, Kishimoto T, Rabbani G, Skonieczna-Żydecka K, Brambilla P, Favaro A, Takamiya A, Zoccante L, Colizzi M, Bourgin J, Kamiński K, Moghadasin M, Seedat S, Matthews E, Wells J, Vassilopoulou E, Gadelha A, Su KP, Kwon JS, Kim M, Lee TY, Papsuev O, Manková D, Boscutti A, Gerunda C, Saccon D, Righi E, Monaco F, Croatto G, Cereda G, Demurtas J, Brondino N, Veronese N, Enrico P, Politi P, Ciappolino V, Pfennig A, Bechdolf A, Meyer-Lindenberg A, Kahl KG, Domschke K, Bauer M, Koutsouleris N, Winter S, Borgwardt S, Bitter I, Balazs J, Czobor P, Unoka Z, Mavridis D, Tsamakis K, Bozikas VP, Tunvirachaisakul C, Maes M, Rungnirundorn T, Supasitthumrong T, Haque A, Brunoni AR, Costardi CG, Schuch FB, Polanczyk G, Luiz JM, Fonseca L, Aparicio LV, Valvassori SS, Nordentoft M, Vendsborg P, Hoffmann SH, Sehli J, Sartorius N, Heuss S, Guinart D, Hamilton J, Kane J, Rubio J, Sand M, Koyanagi A, et al.",Psychiatry Res. 2024 Dec;342:115972. doi: 10.1016/j.psychres.2024.115972. Epub 2024 May 23.,Solmi M,Psychiatry Res,2024,21/09/2024,,,10.1016/j.psychres.2024.115972,NO,,,,,,
39270441,Directly observed social contact patterns among school children in rural Gambia,"Osei I, Mendy E, van Zandvoort K, Jobe O, Sarwar G, Wutor BM, Flasche S, Mohammed NI, Bruce J, Greenwood B, Mackenzie GA.",Epidemics. 2024 Dec;49:100790. doi: 10.1016/j.epidem.2024.100790. Epub 2024 Sep 11.,Osei I,Epidemics,2024,13/09/2024,PMC11649533,,10.1016/j.epidem.2024.100790,YES,YES,219,Gambia,,,
38821037,Social contacts in Switzerland during the COVID-19 pandemic: Insights from the CoMix study,"Reichmuth ML, Heron L, Beutels P, Hens N, Low N, Althaus CL.",Epidemics. 2024 Jun;47:100771. doi: 10.1016/j.epidem.2024.100771. Epub 2024 May 10.,Reichmuth ML,Epidemics,2024,31/05/2024,,,10.1016/j.epidem.2024.100771,YES,YES,7084,Switzerland,,,
38811933,"Social contact patterns during the early COVID-19 pandemic in Norway: insights from a panel study, April to September 2020","Veneti L, Robberstad B, Steens A, Forland F, Winje BA, Vestrheim DF, Jarvis CI, Gimma A, Edmunds WJ, Van Zandvoort K, de Blasio BF.",BMC Public Health. 2024 May 29;24(1):1438. doi: 10.1186/s12889-024-18853-8.,Veneti L,BMC Public Health,2024,29/05/2024,PMC11137890,,10.1186/s12889-024-18853-8,YES,YES,1718,Norway,,,
